Mata Pelajaran,Soal,Jawaban,Skor,Keterangan
Bahasa Indonesia ,Jelaskan dengan bahasamu sendiri apa yang dimaksud dengan Teks Laporan Hasil Observasi!,LHO adalah teks yang berisi hasil pengamatan terhadap suatu objek secara faktual.,10,Jawaban Kunci
Bahasa Indonesia ,Sebutkan tiga ciri utama dari Teks Laporan Hasil Observasi!,"faktual, objektif, menggunakan bahasa baku.",10,Jawaban Kunci
Bahasa Indonesia ,Apa tujuan dibuatnya teks laporan hasil observasi? Jelaskan secara sederhana.,memberi informasi faktual kepada pembaca.,10,Jawaban Kunci
Bahasa Indonesia ,Jelaskan apa yang dimaksud dengan teks anekdot menurut pemahamanmu.,cerita singkat yang lucu atau menyindir.,10,Jawaban Kunci
Bahasa Indonesia ,Sebutkan dua ciri yang selalu ada dalam teks anekdot.,mengandung kelucuan dan sindiran.,10,Jawaban Kunci
Bahasa Indonesia ,Sebutkan struktur teks anekdot dan jelaskan secara singkat setiap bagiannya.,"abstraksi, orientasi, krisis, reaksi, koda.",10,Jawaban Kunci
Bahasa Indonesia ,Apa yang dimaksud dengan hikayat? Jelaskan dengan bahasamu sendiri.,cerita lama yang berisi keajaiban dan unsur fantastis.,10,Jawaban Kunci
Bahasa Indonesia ,Sebutkan tiga ciri khas hikayat sebagai karya sastra lama.,"tokoh sakti, alur sederhana, penuh keajaiban.",10,Jawaban Kunci
Bahasa Indonesia ,Sebutkan struktur umum hikayat dan jelaskan fungsi masing-masing bagian.,"pendahuluan, peristiwa, penutup.",10,Jawaban Kunci
Bahasa Indonesia ,"Dari ketiga jenis teks (LHO, Anekdot, Hikayat), pilih salah satu dan jelaskan pesan atau nilai yang biasanya ingin disampaikan penulis melalui teks tersebut, berdasarkan pemahamanmu",hikayat mengajarkan keberanian dan kejujuran.,10,Jawaban Kunci
Bahasa Indonesia ,Jelaskan dengan bahasamu sendiri apa yang dimaksud dengan Teks Laporan Hasil Observasi!,"Teks LHO adalah teks yg kita tulis dari melihat atau menonton suatu seperti hewan, tumbuhan atau Penjelasan, secara rinci",10,Jawaban Siswa
Bahasa Indonesia ,Sebutkan tiga ciri utama dari Teks Laporan Hasil Observasi!,"bersifat objektif, disusun sistematis, ditulis berdasarkan fakta",10,Jawaban Siswa
Bahasa Indonesia ,Apa tujuan dibuatnya teks laporan hasil observasi? Jelaskan secara sederhana.,untuk menjelaskan suatu benda/Peristiwa,0,Jawaban Siswa
Bahasa Indonesia ,Jelaskan apa yang dimaksud dengan teks anekdot menurut pemahamanmu.,Teks anekdot cerita singkat yg lucu / menyindir,10,Jawaban Siswa
Bahasa Indonesia ,Sebutkan dua ciri yang selalu ada dalam teks anekdot.,"mengandung humor, berdasarkan kejadian yang hampir nyata",10,Jawaban Siswa
Bahasa Indonesia ,Sebutkan struktur teks anekdot dan jelaskan secara singkat setiap bagiannya.,"abstrak, krisis, koda, orientasi, rekasi",10,Jawaban Siswa
