nama_tempat,username,rating,review
Kopi Studio 24,emang boleh,5,"oiyaaa tolong dongg pancong” nya itu lain kali kalo packing ga usah pake kerak gosong” nya, yang harusnya enak malah jadi keliatan ga higienis😢

overall kopsus dcream with less ice masih jadi favoritku 🤩"
Kopi Studio 24,Fathonah Onah,5,"Tempatnya sangat luas, stop kontak ada di setiap sudut jadi lebih leluasa buat nugas, harganya juga kantong mahasiswa banget"
Kopi Studio 24,Syamsie Noor,5,"Tempat e luas. Banyak pilihan kursi atau tempat duduk.
Ada yg indoor dan outdoor, juga lesehan.

Makanan nya pancong mantab.
Minuman nya enak semua. Dan harga nya murah meriah. Jadi betah sering-sering kesini.

Fasilitas lengkap. Musholla, toilet, wifi, dan colokan listrik.

Pelayanan ramah dan cepat."
Kopi Studio 24,Syamsie UNGU,5,"Nice place for coffee and working your assignment

Harga minuman nya murah banget. Bisa pesen paket biar lebih murah meriah.

Tempat nya luas, banyak pilihan tempat duduk.
Free wifi, toilet Dan colokan listrik."
Kopi Studio 24,Sham Arifin,5,"Untuk yg berbudget ngepress, tapi butuh tempat nyaman untuk mengerjakan tugas, work from cafe, meeting terbatas dadakan, ngobrol, ngerumpi atau bahkan untuk rebahan dan tidur sejenak, Kopstud24 di LA sucipto sangat aku rekomendasikan.

Harga sangat friendly selayaknya kopstud pada umumnya, tapi di LA Sucipto ini ada hall luas berkarpet yg bisa untuk selonjoran sambil rebahan. Ada area outdoor yg lumayan instagramable dan nyaman untuk curhat, ada ruang meeting terbatas dg meja panjang juga, dn tentu saja, semua meja sangat nyaman untuk work from cafe atau ngerjain tugas di sana. Sambil begadang seru juga.. sayangnya.. tidak ada menu kopi panas di sini. Jadi untuk begadang di malam yg dingin sih.. kurang rekomended ya."
Kopi Studio 24,Chaila Putri,1,"Tempat yang jadi langganan buat nongkrong maupun take away.
Jujurly buat rasa kopi dan makanan sangat enak.
Tapi untuk pelayanan bener benr burukk dan gasopan,tdk ada repeat order sehingga pesananya kurang ,minim interaksi dan sangat ketus baik ekspresi ataupun nada bicara.
Suasa tempat kurang di perhatikan terutama bagian wc sangat jorok pdhl itu adalah cerminan dr suatu tempat,berbagai area juga sangat kotor padahal pegawainya banyak tapi sibuk bergurau dan kurang memperhatikan tempat sekitar.
Pesan untuk di bawa pulang juga kurang di perhatikan ketika nge siler cupnya sehingga sampe rumah baru sadar kalo di jalan sudah tumpah dan bocor!!!"
Kopi Studio 24,uthed chandra,5,"Harga murah meriah, tempat makan luas, fasilitas lengkap ada mushola, toilet, wifi, colokan. Pelayanan ramah."
Kopi Studio 24,Enda Nada,1,"Saya tanggal 24 kemarin beli online  bundling ini, waktu itu pesan 3 menu dan dateng itu ga nyampe 20 menit tapi kenapa ini isinya kurang/ ngga full ya? Masa pesen yang bundling dikasi yang kaya gini, tolong diperbaiki lagi ya kak lain kali biar lebih berkembang lagi."
Kopi Studio 24,Mumu Otsutsuki,5,"enakkk buat nongkrong, matcha nya juga enak, aku mau seratusss"
Kopi Studio 24,Anggi Arta,5,sangat enak dan nyaman serta cocok untuk kantong pelajar good
Kopi Studio 24,uthed chandra,5,"Harga murah meriah
Free wifi
tempat makan luas, ada area sitting & lesehan
fasilitas lengkap ada mushola, toilet, wifi, colokan
Pelayanan ramah
Buka 24 jam"
Kopi Studio 24,Yeyen Ariska,1,"Sudah menunggu 1 jm tetapi tidak kunjung selesai, bilangnya cuma 10mnt selesai, wah tau nya berjam jam, minum sampai cair dan gk dingin. Lama bangett pelayanan nya"
Kopi Studio 24,Wkwkwk Wkwk,5,"Harganya sangat murah, tersedia promo buy one get one di cafe ini. Makanannya standard (biasa saja) untuk minuman lumayan enak, banyak macamnya, dari kopi, milk tea, matcha, sampai Ice cream boba. Sayangnya, banyak menu yang kosong jika sudah agak malam atau di pagi hari.

Untuk tempatnya sendiri sangat luas, terdapat indoor dan outdoor. Di indoor sendiri, tersedia bean bag dan meja lesehan (biasanya para pengunujung banyak yang memilih tempat ini, sehingga sering penuh) disediakan kipas angin juga, sehingga anda tidak perlu khawatir akan kepanasan. Kafe ini 24 jam dan didominasi oleh anak kuliahan karena tempat ini sangat nyaman untuk mengerjakan tugas ataupun hanya sekedar nongkrong saja. Biasanya akan ramai di sekitar pukul 19.00-01.00 dini hari. Wi-Fi lumayan stabil, lancar untuk main Dota dan games berat lainnya.

Untuk pembayaran hanya melayani via Qris.

*Toilet dan hospitality dari karyawan mohon lebih diperhatikan."
Kopi Studio 24,Muhammad Rifqi Rizqullah,1,"Tukang parkirnya ga bertanggungjawab sama sekali. Bayar parkir 5rb dan mereka ga ada kembalian 3rb trs disuruh ambil kembalian pas pulangnya. Giliran udah pulang trs mau ambil kembalian ternyata udah beda orang dan dia bilang klo dia baru dateng jadi ga ada uang buat ngasih kembalian. Saya malah disuruh balik kesana besoknya untuk ambil kembalian. Oke saya percaya klo gaada uang alhasil saya berniat tungguin sampai ada pelanggan dateng dan bayar parkir, 15 mnt kemudian saya lihat ada pelanggan baru dateng bayar parkir dan tukang parkirnya ngeluarin uang 2rb an banyak buat ngasih kembalian ke pelanggan tersebut padahal bilangnya gaada uang. Setelah liat itu, saya tagih lagi dong kembalian 3rb saya, eh kok tukang parkirnya malah bilang ""masio onok pun ga kiro tak kek i samean mas soale maeng guduk aku sg jogo (kalo ada pun mas nya ga akan tak kasih kembalian soalnya tadi bukan bagian saya)"". Saya yang bayar kok malah saya yang disuruh nyari-nyari kembalian. Tolong dievaluasi tukang parkirnya (ciri"" : pendek, bertopi, pake hoodie), saya sebagai konsumen merasa dirugikan walaupun cuma 3rb. Kejadian ini saya alami di hari selasa tanggal 24 September 2025 jam 23.00."
Kopi Studio 24,Gold De Edyson,5,Asik nih buat nongkrong.. Price nya murah juga..
Kopi Studio 24,Amanda Halimatuz,5,"Makanan dan minumannya murah bgt. Wifi-nya oke-lah buat nugas. Ramah bgt buat kantong mahasiswa. Suasananya oke meskipun ujan, ga berisik. Buat makanannya, aku pesen ayam geprek konslet, itu sambelnya agak kecut (emg rasanya gitu). Aku ga begitu suka kecut, jadi kurengg sih buat aku. Buat minumannya, yang green tea oke ajaa ✨"
Kopi Studio 24,Kevin Saputra,5,"Tempatnya sangat bagus, pelayanan cepat dan ramah, harganya juga terjangkau bangetttttt recended bgtttt😍"
Kopi Studio 24,Dzakiyyah Salma D,2,"Ulasan makanan dan minuman sy bahas belakangan karena BANYAK MASALAH di sini :
1. Fasilitas KURANG PERAWATAN. Banyak meja berdebu TIDAK DILAP. Toilet dan mushola kotor dan tidak ada tisu. Mungkin ""tisu dan lap meja"" bukan dijadikan perhatian ya? Padahal bisnis FnB kok tidak peduli kebersihan?
2. Jam 23 saya pesan makanan, ditolak, karena BOX HABIS. Oke berarti ini defisit supply box, semoga tertangani. Saya harap jika ada kendala pemesanan menu dipasang note ""SNACK & FOOD HABIS"" di kaca kasir. Semangat berbenah yaa 💪🏻
3. Kang parkir tidak stay 24jam. Saya pulang jam 4 pagi sambil khawatir apakah motor sy kenapa², untungnya aman. Semoga bisa ditingkatkan

Oke ini ulasan makanan dan minumannya:
1. Minuman murah puol, cocok utk mahasiswa irit. Tapi kemanisan sih setara mix** tolong diperbaiki ya kak, banyakin aja esnya. Toh production cost lebih hemat.
2. Makanan serba instan. Kulit ayam dan gepreknya ternyata mini, sesuai harga. Tapi enak kok jika sekedar utk pengganjal perut"
Kopi Studio 24,_vivi0fficial,5,"Salah satu rekomendasi tempat nugas paling sering Aku datengin 🤩
Ada colokan di setiap meja + deket kampus ✨"
Kopi Studio 24,harta karun,5,"enak, murah, tempat andalan buat nugas, mantap pokoknya"
Kopi Studio 24,Rafli wahyu permadi,5,"pelayanan cepat, ramahh, ojol nya cepat nga kyk biasanya padahal antri ojol dan yg ditempat banyak dan panjang"
Kopi Studio 24,Rifqi Rohadatul'aisy,5,"Tempat nyaman buat nugas, harga murah dan makanan sama minuman enak enak. Selain itu pelayan nya juga ramah. Tempat bersih banyak colokan juga"
Kopi Studio 24,Mlxyss,3,"Makanan nya oke sih tapi pelayanan nya kureng bgt, meja berdebu gapernah di bersihkan. Waitress nya jutek, kurang sopan ke pelanggan. Makanan minuman nya worth it sih + baru kali ini dikasi nasi kering wkwk. Kurang pelayanan sama kebersihan"
Kopi Studio 24,zahrotul laili,5,"murahhh, enaakkk, tempatnya luas,nyaman cocok buat nugas"
Kopi Studio 24,Arbaa Maulidya,5,"Semua outlet pembayaran pake qris. Tempat pemesanan di depan , jadi mempermudah pembeli, yang dulunya di belakang. Pindah ke depan."
