question,answer,score
Jelaskan dengan bahasamu sendiri apa yang dimaksud dengan Teks Laporan Hasil Observasi!,LHO adalah teks yang berisi hasil pengamatan terhadap suatu objek secara faktual.,10
Sebutkan tiga ciri utama dari Teks Laporan Hasil Observasi!,"faktual, objektif, menggunakan bahasa baku.",10
Apa tujuan dibuatnya teks laporan hasil observasi? Jelaskan secara sederhana.,memberi informasi faktual kepada pembaca.,10
Jelaskan apa yang dimaksud dengan teks anekdot menurut pemahamanmu.,cerita singkat yang lucu atau menyindir.,10
Sebutkan dua ciri yang selalu ada dalam teks anekdot.,mengandung kelucuan dan sindiran.,10
Sebutkan struktur teks anekdot dan jelaskan secara singkat setiap bagiannya.,"abstraksi, orientasi, krisis, reaksi, koda.",10
Apa yang dimaksud dengan hikayat? Jelaskan dengan bahasamu sendiri.,cerita lama yang berisi keajaiban dan unsur fantastis.,10
Sebutkan tiga ciri khas hikayat sebagai karya sastra lama.,"tokoh sakti, alur sederhana, penuh keajaiban.",10
Sebutkan struktur umum hikayat dan jelaskan fungsi masing-masing bagian.,"pendahuluan, peristiwa, penutup.",10
"Dari ketiga jenis teks (LHO, Anekdot, Hikayat), pilih salah satu dan jelaskan pesan atau nilai yang biasanya ingin disampaikan penulis melalui teks tersebut, berdasarkan pemahamanmu",hikayat mengajarkan keberanian dan kejujuran.,10
Jelaskan dengan bahasamu sendiri apa yang dimaksud dengan Teks Laporan Hasil Observasi!,"Teks LHO adalah teks yg kita tulis dari melihat atau menonton suatu seperti hewan, tumbuhan atau Penjelasan, secara rinci",10
Sebutkan tiga ciri utama dari Teks Laporan Hasil Observasi!,"bersifat objektif, disusun sistematis, ditulis berdasarkan fakta",10
Apa tujuan dibuatnya teks laporan hasil observasi? Jelaskan secara sederhana.,untuk menjelaskan suatu benda/Peristiwa,0
Jelaskan apa yang dimaksud dengan teks anekdot menurut pemahamanmu.,Teks anekdot cerita singkat yg lucu / menyindir,10
Sebutkan dua ciri yang selalu ada dalam teks anekdot.,"mengandung humor, berdasarkan kejadian yang hampir nyata",10
Sebutkan struktur teks anekdot dan jelaskan secara singkat setiap bagiannya.,"abstrak, krisis, koda, orientasi, rekasi",10
Apa yang dimaksud dengan hikayat? Jelaskan dengan bahasamu sendiri.,cerita klasik yg berisi tentang tokoh hebat biasanya banyak kejadian,10
Sebutkan tiga ciri khas hikayat sebagai karya sastra lama.,"mengandung unsur fantastis, bersifat turun temurun, cerita berdasarkan kejadian",5
Sebutkan struktur umum hikayat dan jelaskan fungsi masing-masing bagian.,"tema, tokoh, alur, latar, alamat",0
"Dari ketiga jenis teks (LHO, Anekdot, Hikayat), pilih salah satu dan jelaskan pesan atau nilai yang biasanya ingin disampaikan penulis melalui teks tersebut, berdasarkan pemahamanmu","nilai moral, krisis sosial, informasi penting, Pelajaran hidup yg ingin disampaikan si penulis",0
Jelaskan dengan bahasamu sendiri apa yang dimaksud dengan Teks Laporan Hasil Observasi!,laporan berisi fakta dan hasil pengamatan,10
Sebutkan tiga ciri utama dari Teks Laporan Hasil Observasi!,"Fakta, teratur dan jelas, bahasa baku",10
Apa tujuan dibuatnya teks laporan hasil observasi? Jelaskan secara sederhana.,menyampaikan fakta hasil Pengamatan,5
Jelaskan apa yang dimaksud dengan teks anekdot menurut pemahamanmu.,cerita pendek yang lucu sekaligus menyindir,10
Sebutkan dua ciri yang selalu ada dalam teks anekdot.,"Lucu, kritik, dan menyindir",10
